Lausanne	洛桑[瑞士]
littérature	文学n.f.
la nature	自然n.f.
Sénégal	塞内加尔n.m.(位于西非，以其丰富的文化、音乐和多样的自然景观而闻名。)
Je suis secrétaire	我是一名秘书
quarante	四十
Je cherche une correspondante de trente à quarante ans	我想找一个30岁到40岁的笔友
Portraits	肖像
un	一,一个adj.
deux	二,两adj.
trois	三adj.
quatre	四adj.
cinq	五adj.
six	六adj.
sept	七adj.
huit	八adj.
neuf	九adj.
dix	十adj.
onze	十一adj.
douze	十二adj.
treize	十三adj.
quatorze	十四adj.
quinze	十五adj.
seize	十六adj.
dix-sept	十七adj.
dix-huit	十八adj.
dix-neuf	十九adj.
vingt	二十adj.
vingt et un	二十一adj.
vingt et une	二十一adj.
vingt-deux	二十二adj.
vingt-trois	二十三adj.
vingt-quatre	二十四adj.
vingt-cinq	二十五adj.
vingt-six	二十六adj.
vingt-sept	二十七adj.
vingt-huit	二十八adj.
vingt-neuf	二十九adj.
trente	三十adj.
trente et un	三十一adj.
trente et une	三十一adj.
trente-deux	三十二adj.
trente-trois	三十三adj.
trente-quatre	三十四adj.
trente-cinq	三十五adj.
trente-six	三十六adj.
trente-sept	三十七adj.
trente-huit	三十八adj.
trente-neuf	三十九adj.
quarante	四十adj.
quarante et un	四十一adj.
quarante et une	四十一adj.
quarante-deux	四十二adj.
quarante-trois	四十三adj.
quarante-quatre	四十四adj.
quarante-cinq	四十五adj.
quarante-six	四十六adj.
quarante-sept	四十七adj.
quarante-huit	四十八adj.
quarante-neuf	四十九adj.
cinquante	五十adj.
cinquante et un	五十一adj.
cinquante et une	五十一adj.
cinquante-deux	五十二adj.
cinquante-trois	五十三adj.
cinquante-quatre	五十四adj.
cinquante-cinq	五十五adj.
cinquante-six	五十六adj.
cinquante-sept	五十七adj.
cinquante-huit	五十八adj.
cinquante-neuf	五十九adj.
soixante	六十adj.
soixante et un	六十一adj.
soixante et une	六十一adj.
soixante-deux	六十二adj.
soixante-trois	六十三adj.
soixante-quatre	六十四adj.
soixante-cinq	六十五adj.
soixante-six	六十六adj.
soixante-sept	六十七adj.
soixante-huit	六十八adj.
soixante-neuf	六十九adj.
soixante-dix	七十adj.
soixante-onze	七十一adj.
soixante-douze	七十二adj.
soixante-treize	七十三adj.
soixante-quatorze	七十四adj.
soixante-quinze	七十五adj.
soixante-seize	七十六adj.
soixante-dix-sept	七十七adj.
soixante-dix-huit	七十八adj.
soixante-dix-neuf	七十九adj.
quatre-vingts	八十adj.
quatre-vingt-un	八十一adj.
quatre-vingt-deux	八十二adj.
quatre-vingt-trois	八十三adj.
quatre-vingt-quatre	八十四adj.
quatre-vingt-cinq	八十五adj.
quatre-vingt-six	八十六adj.
quatre-vingt-sept	八十七adj.
quatre-vingt-huit	八十八adj.
quatre-vingt-neuf	八十九adj.
quatre-vingt-dix	九十adj.
quatre-vingt-onze	九十一adj.
quatre-vingt-douze	九十二adj.
quatre-vingt-treize	九十三adj.
quatre-vingt-quatorze	九十四adj.
quatre-vingt-quinze	九十五adj.
quatre-vingt-seize	九十六adj.
quatre-vingt-dix-sept	九十七adj.
quatre-vingt-dix-huit	九十八adj.
quatre-vingt-dix-neuf	九十九adj.
cent	一百adj.
cent un	一百一adj.
