se suicider	自杀
Le chasseur	猎人n.m.
se cacher	躲藏(to hide)
république	共和国(republic)n.f.
parvenir	到达(to reach)
être intervenu	干涉(to have intervened)-阳性
survenir	突然到达(to occur)
Vous êtes né quand	你什么时候出生的?(When were you born?)
la chambre du commerce	“商会”(英语:chamber of commerce)
la tête	是“头”(阴性名词); “头顶”; “头”头脑(head)n.f.
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”); “一个东西”
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry)
un panier	“篮子”n.m.
haute qualité	“高质量”(英语:high quality)
l'évier	“水槽”(英语:sink)
cohabites	“同居”(英语:cohabits)
des trucs	“东西”(英语:things)
faire ses lacets	“系鞋带”
un machin	“一个玩意儿”
un bidule	“一个小玩意儿”
les mains	“手”(英语:hands)
tranquille	“安静的”(英语:quiet)
empêches	“阻止”(英语:prevent)
ses griffes	“它的爪子”(英语:its claws)
tant pis	“算了”(英语:never mind)
réussir	成功=英语的to succeed
réfléchir	思考=英语的to think
vendre	卖
ravi	高兴的
trembler	震动、颤抖
donner	给、提供、教授(to give)
montrer	展示(to show)
mettre	放置、使用、穿上(to put)
ressentir	“感受到”(to feel)
sentir	“闻到”(to smell)
j'ai découvert	我发现(I found out)
a fermé	关门了(has closed)
j'espère que	我希望 (I hope that)
était meilleure	比我好 (was better than me)
la mienne	我的 (mine)
mentir	“撒谎(to lie)”
un courriel	一封电子邮件(an email)
à très bientôt	“很快再见”(See you very soon)
j'ai assisté à	我参加了(I attended)
Mes parents sont venus	我的父母来(My parents came)
ainsi de suite	等等(and so on)
Avoir besoin de	“需要”(need)
un ophtalmologiste	眼科医生(eye doctor)
une ordonnance	处方,方药(prescription)
drôle	“有趣的”(funny)
Cochon	猪(pig)
à la maternelle	幼儿园(kindergarten)
un moyen de	一种...的方法
le tramway	“有轨电车”
un ingrédient	“一种食材”
citer	引用
Ma recette préférée	“我最喜欢的食谱”
quelle occasion	什么场合(what occasion)
contexte	背景(context)
L'événement de l'année	“年度事件”(the event of the year)
apprécier	欣赏(appreciate)
