agréable	“宜人的、舒适的”(形容词); 愉快的(不分阴阳性)
la face	(物体的)面n.f.
est grave	严重的(形容词,阳性和阴性形式相同)
avoir mal à la gorge	喉咙疼=英语的sore throat
le Train à Grande Vitesse	高速列车
Mettre	花费(时间)
Je mets	我花费
Ils mettent	他们花费
J'ai mis	我花费(mettre 动词的过去式,用来表示花费时间)
le coiffeur	理发师(阳性)
couper les cheveux	理发(-er 结尾的动词)
Les Parisiens	巴黎人(阳性)
Mauvais	坏的(阳性)
génial	了不起的、极好的(阳性)
Donner	给 (gěi)
Demander	问 / 请求 (wèn / qǐngqiú)
qu'est-ce que le médecin a dit	医生说什么?
une gastro	胃炎(阴性)(口语中,gastro 是 gastro-entérite(胃肠炎)的缩写,通常指胃肠道感染,常伴随呕吐和腹泻)
Une occasion spéciale	特殊的场合(阴性)
une gastroscopie	胃镜检查(阴性)
J'ai fait un examen gastrique	我做了胃镜检查
Quelque chose d'agréable	有什么愉快的事吗?
rien	什么都没有(通常用于否定句)
physiquement	外貌上(副词)
caractère	性格(阳性)=character(英语)
Expliquez	解释, 动词 "expliquer"(解释)的第二人称复数形式
maigre	瘦的,无性别变化,既可以用于阳性也可以用于阴性单数(他/她都可以瘦)
En général	一般来说=英语的generally
aux autres	别人(复数形式)(aux 是 à + les 的缩合形式,表示“对某人”)
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
sévère	严格; 严厉的(形容词)
siècle	世纪(阳性名词)
connaît	认识(动词 connaître(认识)的直陈式现在时第一人称单数变位形式)
depuis 6 mois	“6个月以来"
Que faites-vous ensemble	你们一起做什么?
peur	害怕(名词)
a été	“être” 的直陈式复合过去时第三人称单数形式,表示“是”或“在”
expliquer	解释(动词原形)
Parlez d'un professeur qui est, ou a été, important pour vous et expliquez pourquoi	谈谈一个对你来说很重要的老师,或者是一个你最喜欢的老师,并解释为什么。
Elle est très gentille	她非常和蔼。
s'occuper de	照顾(动词短语)(“se” 是自反代词,表示“自己”)
serre	“抱紧,搂住”(动词 serrer(抱)的第三人称单数形式)
ses bras	她的胳膊
Voulez-vous commander la paëlla	您想点海鲜饭吗?(voulez-vous:动词 vouloir(想要)的直陈式现在时第二人称复数变位形式)
Tous les jours, je fais un peu mes devoirs	每天,我都会做一点儿作业
pour le nouvel an chinois	为了庆祝中国新年
Tu as eu combien d'argent pour le nouvel an chinois	你过年收到了多少压岁钱?(“Tu as eu” 是 “avoir” 的复合过去时,表示 “你有了” )
pareil	一样(形容词)
Hier	昨天(副词)
un biopic	传记片(biography picture的缩写)
raconter	讲述
célèbre	著名的
toujours	仍然(副词)
vivant	活着的(形容词)
joue	扮演”(动词 jouer(演)的直陈式现在时第三人称单数变位形式)
l'écran	屏幕(阳性名词)(定冠词 le 在以元音音素开头的名词前,要缩合为 l' )
fatiguée	疲劳的(女性形式)
les repas en français	法语中的三餐
la nourriture	食物(阴性名词)
du poisson	一些鱼(部分冠词 “du” 是由定冠词 “le” 和介词 “de” 缩合而成,表示不可数名词的部分,不是在强调具体有几条鱼,而是泛指吃了一些鱼肉或者一些鱼的部分)
le plus connu	最有名的(plus:副词 “更” 的最高级形式)
