un tirage	彩票开奖=a draw
une seule personne	只有一人=only one person
partager	分享、平分(原形动词)=to share
autant d'argent	固定短语(“autant de” 表 “如此多的、同样多的”,指代前文提到的 “2.5 亿欧元”;“argent” 此处特指 “中奖奖金“)=so much money
ferais	实义动词 “faire”(做、干)的未完成过去时虚拟式(主语为 “tu” 时的变位)=would do
créer	创立、创建、建立(原形动词)=to create
lutter contre	与...... 作斗争、对抗(原形动词短语)=to fight against
la civilisation	文明、文化(阴性名词)=civilization
avais	有(过去时,第一人称单数); (动词 avoir 的第一人称单数未完成过去时)有
raconter	“讲述”(英语=tell); “讲述”“叙述”“诉说”; 讲述;说
raison	原因;理由;理智;道理; 阴性名词,基本含义为 “理智、理性;理由、原因”=reason
deviner	猜到(动词原形); 猜到了(动词原形)
une usine	: 工厂“工厂”
C'est un peu ennuyeux	“就是有点无聊。”
nulle	“糟糕的”“差劲的”=英语bad
le concubinage	“同居”=英语cohabitation
le pacs -on vit ensemble et on signe un contrat	“民事结合(住在一起并签一份合同)。”
L'année dernière j'étais en seconde	“去年我在高一。”
chimie	“化学”
la retraite	“退休”=英语retirement
camarades	“同学”=英语classmates
ibuprofène	布洛芬
un lien	联系;关联=a link
tes règles	月经(阴性复数名词)=your period
certaines femmes	有些女性(“certaines” 是形容词 “certain” 的阴性复数形式)
lorsque	“当...... 时”
m'arrive	发生在我身上(“arriver à qn” 表示 “发生在某人身上”,“m'” 是 “me” 的缩写,“arrive” 是动词第三人称单数现在时)
je te raconte	我跟你说
j'avais raison	我是对的(“avoir raison” 是固定搭配,意为 “正确、对的”,“j'avais” 是 “avoir” 的第一人称单数未完成过去时)
poli	形容词,意为 “有礼貌的”,其否定形式通过 “mal” 体现,即 “不礼貌的”=impolite
vous ai dit	跟您说过
meurtrier	凶手(阳性名词)
encore une fois	“又一次、再一次”=英语的 "once again"
bêtes	愚蠢的,笨的(阴性复数形式); 动物,牲口(阴性名词复数,此处可理解为 “小虫、小动物”)
linguistique	“语言学的”(英语=linguistic)
Le réalisateur utilise une caméra HD pour tourner le film	“导演使用高清摄像机拍摄电影。”
à la fois	固定短语,意为 “同时”“既...... 又......”。
utile	有用的
influenceurs	“网红”=英语influencers
TV series	“电视剧。”
l'arche	“方舟”
terre	“地球” “土地”“地面”
tel ou tel	“这个或那个”“某个”“某些”=英语this or that
continentale	“大陆的”=英语continental
désigne	“指的是”=英语refers to,原形désigner
débats	“辩论”=英语debates
émissions de variétés	“综艺节目”=英语variety shows
animateur	“主持人”=英语host
spectacle d’humour en solo sur scène	“单人舞台喜剧表演”=英语solo comedy show
