il sort un album	“他发行了一张专辑。”
ils sortent un disque	“他们发行了一张唱片。”
La censure	“审查制度”
arrêter	停止(英语:stop)
la centrale nucléaire	“核电站”
dynamique	有活力的adj.
entretien	面试，会面n.m.
une sieste	午后小睡
siesta	“小睡(西班牙语)”
manger dehors	“在外面吃饭”
on a mangé occidental	“我们吃了‘西餐’”
une entrée	“一道开胃菜”
le portugais	“葡萄牙语”
être PACSÉ -comme le mariage, mais le divorce est plus facile	“民事结合(类似于婚姻,但离婚更简单)”
arrondissement	区(英语=district)
La mairie	市政厅(city hall)
Le drapeau des homosexuelles	“同性恋者的旗帜(同性恋者)”
dépenser	花费(spend)
les doigts dans le nez	“轻而易举”,手指在鼻子里
parti communiste	共产党
Le réseau	网络(network)
des appareils	电器(英语:appliances)
bâtiment	建筑(英语:building)
occidentaux	西方人(英语:Westerners)
Il faut qch à qn	某人需要某物
vacciné	疫苗
malheureuses	“不幸的”(阴性复数形式)
communiquer	沟通,交流(英语=communicate)
4 générations sous le même toit	四代人在同一屋檐下生活
domestiques	“家养的,驯养的”(英语=domestic)
