La terminale	高三
vivre	生活
vivre un peu en Chine	在中国生活一段时间
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
je suis allé à Shanghaï	我去了上海。
J'ai habité	我曾经住过(过去完成时)
J'ai habité à Shanghaï pendant 11 mois en 2018	"2018年我在上海住了11个月。"
maternelle	“母亲的”“母性的”
paternelle	“父亲的”“父性的”
ingénieur	工程师(男性)
informaticienne	计算机专家(女性)
tous	所有
Tous les deux	他们两个
sévère	严格
Je vais avoir 62 ans	我62岁了。
étais	是(être的过去式第一人称单数形式)
Il en reste 15	还剩15个。
anniversaire	生日
janvier	一月
février	二月
mars	三月
mai	五月
juin	六月
juillet	七月
août	八月
septembre	九月
octobre	十月
novembre	十一月
décembre	十二月
lycée	高中
je suis en seconde	我在读高一。
naître	出生
l'assistant	助理,助手,副手
directeur	经理n.阳性形式
au-dessous	在下面,通常表示某物在另一物的正下方。
au-dessus	“在上面”;...以上
Bienvenue à tous	欢迎大家phr.
Ayez du courage	请您有勇气（命令式）
J'y vais à pied	我走路去。(y=au Louvre,上文提到的地方，作副代词)
Vous habitez en banlieu	你住在郊区吗？
on se parlera après	以后再说（on=我们,se parlera=交谈）
Prenez-vous le bus	你们坐公共汽车吗？
fraise	草莓
boit	喝，喝得
confiture	果酱
du sucre	糖
brioche	奶油圆蛋糕
Tu aimes les fraises	你喜欢草莓吗？
Je prends des céréales	我吃谷物食品。
Je bois de l'eau	我喝水
Vous travaillez chez vous	你们在家工作。
Tu viens avec moi	你和我一起来。
Tu vas où maintenant	你现在去哪里？(口语）
A la bibliothèque	去图书馆。
agence	代理处，代办处n.f.
