sa propre famille	“自己的家庭”(英语=one's own family)
la religion	宗教(英语=religion)
Ils sont importants, il faut les garder	它们很重要,需要保留。”
corriger	批改(英语:to correct)
amener	带来、鞋带(英语:to bring)
le rattrapage	补考(英语:the retake)
aux alentours de	在...... 左右、大约(英语:around)
vacciné	疫苗
malheureuses	“不幸的”(阴性复数形式)
communiquer	沟通,交流(英语=communicate)
4 générations sous le même toit	四代人在同一屋檐下生活
domestiques	“家养的,驯养的”(英语=domestic)
grâce à lui	“多亏了他”
un essai	“论文、散文”
retracer	“追溯、回顾”
la mentalité	心态;思维方式(英语=mentality)
pouvoir me contacter	联系,联络v.t.
dynamique	有活力的adj.
entretien	面试,会面n.m.
indispensable	必不可少的adj.(英语=indispensable)
parfois	有时,偶尔adv.
le point faible	弱点,缺点
privée	私人的,私有的adj.阴性
promenade	散步,散步的地方n.f.
qualité	质量,品质n.f.
réceptionniste	接待员n.m./f.(英语:receptionist)
Pour le 14 juillet, cette année, je suis allée à Paris, avec deux copines de la fac	今年的七月十四日,我和两个大学同学去了巴黎。(This year on July 14th, I went to Paris with two college friends.)
pouvoir	能够(can); 能够,会,可以(can)v.i.
je peux	我可以(I can)
