alliance	(n.f.) 同盟，联盟= alliance
allumer	(v.t.) 点燃，点亮，照亮；打开（暖气等）= to light, to turn on
alpinisme	(n.m.) 登山运动= mountaineering
alternance	(n.f.) 交替，更迭，轮换= alternation
ambassade	(n.f.) 大使馆= embassy
améliorer	(v.t.) 改良，改进= to improve
aménager	(v.t.) 整理，布置；治理= to arrange, to set up
amende	(n.f.) 罚款，罚金= fine
amener	(v.t.) 带来，导致= to bring
amère	(adj.) 苦的，苦涩的；痛苦的
amitié	(n.f.) 友情= friendship
ample	(adj.) 广大的，广阔的；丰富的，广泛的= ample
analyser	(v.t.) 分析= to analyze
âne	(n.m.) 驴= donkey
angoisse	(n.f.) 焦虑，苦恼，恐慌= anguish
aborder	(v.t.) 上前同... 交谈=英语 to approach
aboutir	(v.t.indir) 通向,通到;到达 /(v.i.) 获得成功=英语 to succeed
abri	(n.m.) 隐藏处,躲避处;保护,掩护,庇护=英语 shelter
abstrait	(adj.) 抽象的=英语 abstract
académie	(n.f.) 科学院;学会,学术协会=英语 academy
accabler	(v.t.) 使难以忍受=英语 to overwhelm
accélérer	(v.t.) 加速,加快,促进=英语 to accelerate
accomplir	(v.t.) 履行,完成,实现=英语 to accomplish
accro	(adj., n.) 入迷的(人)=英语 addict
accroître	(v.t.) 增加,增长;扩大=英语 to increase
accumuler	(v.t.) 堆积,积累,积聚=英语 to accumulate
accuser	(v.t.) 控诉,指责,非难;控告,起诉=英语 to accuse
acquérir	(v.t.) 获得,取得=英语 to acquire
adjoindre	(v.t.)添加,增添=英语 to add
administration	(n.f.)管理,治理,行政;政府的部门
adolescente	(n.)青少年(adj.)青春期的,青少年期的
adonner	(v.pr.)专心于,醉心于,沉湎于
un tirage	彩票开奖=a draw
une seule personne	只有一人=only one person
partager	分享、平分(原形动词)=to share
autant d'argent	固定短语(“autant de” 表 “如此多的、同样多的”,指代前文提到的 “2.5 亿欧元”;“argent” 此处特指 “中奖奖金“)=so much money
ferais	实义动词 “faire”(做、干)的未完成过去时虚拟式(主语为 “tu” 时的变位)=would do
créer	创立、创建、建立(原形动词)=to create
lutter contre	与...... 作斗争、对抗(原形动词短语)=to fight against
la civilisation	文明、文化(阴性名词)=civilization
environ	副词(表概数,相当于 “大约、大概”)=英语 approximately
se mettent	变得 / 进入(...... 状态)反身动词短语 “se mettre”(原形)的直陈式现在时,主语为 “des gens”(第三人称复数)时的变位
des gros mots	粗话 / 脏话=英语 swear words / curse words
une tasse	“杯子”  = a cup
Valeur Sentimentale	“片名《情感价值》。”
C'est un film norvégien	“这是一部挪威电影。”(Norway)
Norvège	“挪威”=Norway
d'une trentaine d'année	介词短语,用来修饰 “femme”, 表示 “三十多岁”=about thirty years old
l'Euromillion	欧洲百万(彩票名)
une loterie	“彩票、抽奖”=a lottery
ibuprofène	布洛芬
un lien	联系;关联=a link
tes règles	月经(阴性复数名词)=your period
certaines femmes	有些女性(“certaines” 是形容词 “certain” 的阴性复数形式)
lorsque	“当...... 时”
m'arrive	发生在我身上(“arriver à qn” 表示 “发生在某人身上”,“m'” 是 “me” 的缩写,“arrive” 是动词第三人称单数现在时)
je te raconte	我跟你说
j'avais raison	我是对的(“avoir raison” 是固定搭配,意为 “正确、对的”,“j'avais” 是 “avoir” 的第一人称单数未完成过去时)
poli	形容词,意为 “有礼貌的”,其否定形式通过 “mal” 体现,即 “不礼貌的”=impolite
vous ai dit	跟您说过
meurtrier	凶手(阳性名词)
encore une fois	“又一次、再一次”=英语的 "once again"
bêtes	愚蠢的,笨的(阴性复数形式); 动物,牲口(阴性名词复数,此处可理解为 “小虫、小动物”)
linguistique	“语言学的”(英语=linguistic)
Le réalisateur utilise une caméra HD pour tourner le film	“导演使用高清摄像机拍摄电影。”
à la fois	固定短语,意为 “同时”“既...... 又......”。
utile	有用的
influenceurs	“网红”=英语influencers
TV series	“电视剧。”
l'arche	“方舟”
terre	“地球” “土地”“地面”
tel ou tel	“这个或那个”“某个”“某些”=英语this or that
continentale	“大陆的”=英语continental
désigne	“指的是”=英语refers to,原形désigner
débats	“辩论”=英语debates
émissions de variétés	“综艺节目”=英语variety shows
animateur	“主持人”=英语host
spectacle d’humour en solo sur scène	“单人舞台喜剧表演”=英语solo comedy show
