Ils sont sages	“他们表现得好吗?”
Je regarde quels films vont être à Cannes	“我在看哪些电影将在戛纳放映。”
sera	“将会”“être(是、在)” 的简单将来时第三人称单数
depuis	介词,意为 “从......起”
leur anniversaire de mariage	“他们的结婚纪念日”
fêtent	“庆祝”,法语动词 “fêter” 的直陈式现在时第三人称复数
pratique	“方便的”=英语“convenient”
Je suis prête	“我准备好了”
même	“甚至”,在句子中起到加强语气的作用
devenir amie	“成为朋友”
devenues	动词 “devenir(成为,变得)” 的过去分词,与前面的 “êtes” 构成复合过去时。
bavarder	“聊天”
un long monologue	“一个长的独白”
Le paysage	这里的风景(阳性名词)
Nous avons admiré le paysage pendant des heures	我们欣赏了这个风景好几个小时。
montagneux	“山的;多山的”,修饰 “paysage”,说明是山区的风景。
aucun	“没有一个”,代指前面提到的 “课程(cours)” 等事物。=英语中的 “none”
actuelle	目前的,现实的,当前的adj 阴性
entraînement	训练,锻炼n.m.
éviter	避免,躲避
habituelle	习惯的,惯常的adj 阴性
libre	自由的,空闲的adj
musculation	健身,肌肉锻炼n.f.
reprendre	重新从事v.t.
reprendre le travail	重新开始工作
retourner	返回v.i.
boîte	盒子n.f.夜总会
campagne	乡村n.f.
faire de la course	奔跑
faire du jogging	慢跑
D'abord, je me lève, ensuite je me lave, après je prends le petit-déjeuner, enfin je sors de la maison	首先,我起床,然后我洗澡,之后我吃早饭,最后我出门。
Après, je me lave et je m'habille	然后我洗澡和穿衣服。
Je me lave tous les matins	我每天早上洗澡。
l'accueil	接待处
renseignez	动词 renseigner 的第二人称复数形式,意为打听、询问
Vous posez des questions sur l'accès au jardin, à la librairie boutique et sur le café restaurant du musée	“你询问如何到达花园、书店和博物馆的咖啡餐厅。”
sauf	除了
Le prix c'est 15 euros pour les adultes et 12 euros pour les moins de 18 ans	成人票价是15欧元,18岁以下的儿童是12欧元。”
sans payer	免费(payer:动词原形,意思是 “支付、付款” 。)
falloir acheter un billet	需要买票
racontes	讲述,说,瞎编(动词 raconter 的第二人称单数形式)
n'importe quoi	意为 “任何东西,乱七八糟的东西,瞎话”
te jure	发誓(动词 jurer 的第一人称单数形式)
journaux	报纸
génial	棒,很棒的,十分好
non-fumeur	无烟的
mot de passe	密码
prendre une douche	洗淋浴
propre	干净的,净
réserver	预订
serviette	毛巾,餐巾,巾
clé	钥匙
bain	洗澡,沐浴
neige	雪,下雪
vent	风
nuage	云
dehors	外面
quart	一刻,刻
coucher	卧,上床睡觉
Le palais impérial	故宫
sévère	严格; 严厉的(形容词); 严格
croire	相信(动词); 意为“相信”。; 相信。
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; 副词,意为 “还,仍然;再,又;更,更加”,在这里表示 “还”,用于修饰动词 “appris”,说明动作 “学习” 的状态还未完成。
oursin	海胆
tomber	陷入(某种状态)
je te crois	我相信你。
l'athlétisme	田径运动
anguille	鳗鱼
calmar	鱿鱼
Traduction	翻译
serais	动词 “être(是)” 的条件式现在时第二人称单数形式
plaisir	愉快,高兴;乐趣(名词)
faire plaisir	让...开心
Liste de vocabulaire	词汇表
cru	生的,未煮熟的”,阳性单数形式
de la sardine	沙丁鱼。
anguille	鳗鱼
crevette	虾
coquille Saint-Jacques	扇贝	shànbèi
