réussir	成功=英语的to succeed
réfléchir	思考=英语的to think
vendre	卖
ravi	高兴的
trembler	震动、颤抖
porcelaine	陶瓷(n.f.)(porcelain)
se rappeler	“记住”
J'ai téléchargé les deux films de Bin Gan mais je ne les ai pas encore regardés	“我下载了毕赣的两部电影,但我还没看。”
présent	“现在时”; “现在时”
Titre original chinois	中文原名; “中文原名:地球最后的夜晚”
légumes	蔬菜n.m.pl.
ressentir	“感受到”(to feel)
sentir	“闻到”(to smell)
j'ai découvert	我发现(I found out)
a fermé	关门了(has closed)
j'espère que	我希望 (I hope that)
était meilleure	比我好 (was better than me)
la mienne	我的 (mine)
mentir	“撒谎(to lie)”
un courriel	一封电子邮件(an email)
à très bientôt	“很快再见”(See you very soon)
j'ai assisté à	我参加了(I attended)
Mes parents sont venus	我的父母来(My parents came)
