réserver	预定,预约v.t.(英语:reserve)
souriante	面带微笑的adj.阴性(英语:smiling)
Vous voulez travailler avec des clients français et étrangers	您想与法国和外国客户一起工作
56, promenade des Anglais	英国人大道56号
Je peux fumer ici	我可以在这里吸烟吗?(Can I smoke here?); 我可以在这里吸烟吗?(Can I smoke here?)
savoir	知道,了解,会
se suicider	自杀
Le chasseur	猎人n.m.
se cacher	躲藏(to hide)
république	共和国(republic)n.f.
parvenir	到达(to reach)
être intervenu	干涉(to have intervened)-阳性
survenir	突然到达(to occur)
Vous êtes né quand	你什么时候出生的?(When were you born?)
la chambre du commerce	“商会”(英语:chamber of commerce)
la tête	是“头”(阴性名词); “头顶”; “头”头脑(head)n.f.
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”); “一个东西”
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。; “生气的”(英语:angry)
un beau paysage	美丽的风景/ej/
inspectrice	检查员n.f.
pâtes	面条n.f.pl.意大利面
