vacciné	疫苗
malheureuses	“不幸的”(阴性复数形式)
communiquer	沟通,交流(英语=communicate)
4 générations sous le même toit	四代人在同一屋檐下生活
domestiques	“家养的,驯养的”(英语=domestic)
pouvoir me contacter	联系,联络v.t.
dynamique	有活力的adj.
entretien	面试,会面n.m.
indispensable	必不可少的adj.(英语=indispensable)
parfois	有时,偶尔adv.
le point faible	弱点,缺点
privée	私人的,私有的adj.阴性
promenade	散步,散步的地方n.f.
qualité	质量,品质n.f.
réceptionniste	接待员n.m./f.(英语:receptionist)
raconter qch à qn	给某人讲述某事(tell someone something)
execuser	原谅,宽恕(forgive)v.t.
médecin	医生(doctor)n.m.
le portable	笔记本电脑;手机(laptop; mobile phone)n.m.便携式的,手提式的(portable)adj.
ard de	(建筑术语)拱(arch) n.
exister	存在,生存v.i.
faculté	学院,系,能力n.f.(faculty)
magazine	杂志n.m.(magazine)
souvenir	回忆,纪念品n.m.(souvenir)
triomphe	凯旋,胜利n.m.(triumph)
