savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
parisiennes	意为“巴黎的”，是阴性复数形式
Je dois marcher	我应该走路。
la voisine	女邻居
Ce sont les étudiants de la première année	这些是一年级的学生
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
cher	(adj.)(m)亲爱的;贵的
chère	(adj.)(m)亲爱的（阴性）;亲爱的；贵的（阴性形式）
achètes	买
veste	夹克，上衣
coûtent	要（第三人称复数形式）
prix	价格，奖
combien	多少；多少钱
coûte	要（第三人称单数形式）
euro	欧元
chaussure	鞋
Je veux une jupe blanche	我想要一条白色的裙子
le prix des jupes	裙子（复数）的价格（“des”在这里是“de”（表示所属关系“的”）和复数定冠词“les”的缩合形式。）
Il y a sept magasins	有七家商店
peux	能，可以
écrivent	写，书写; “écrire”（写）的第三人称复数形式。
un portable	手机
sur	在..上面prep=On
collègue	同事
usine	工厂
médecin	医生
chauffeur	司机
métier	职业
salon	客厅
porte	戴，带，穿;门n.f.
gentille	和善;形容阴性单数名词
vache	奶牛，牛
gentil	和善
J'aime l'appartement de mes voisins	我喜欢我邻居的公寓
vêtements	衣服
