Quel professeur tu préfères	你更喜欢哪个老师？
Une Renault	雷诺车
bientôt	不久，马上adv.
à bientôt	一会儿见，回头见loc.adv.
boulangerie	面包房;面包店
Cayenne	卡宴（圭亚那的首府卡宴）
Je cherche du travail	我正在找工作
correspondante	通信者，有信件往来者（去e变成阳性）
Dakar	达喀尔（塞内加尔的首都）
guyanais	圭亚那的;圭亚那人
Lausanne	洛桑[瑞士]
littérature	文学n.f.
monde	世界n.m.
québécoise	加拿大魁北克的adj.(去e变阳性）
il a une carte de visite	他有一张名片
cent-un	一百零一
Comment tu vas	你好吗？
Comment allez-vous	您还好吗？
J'habite à Montréal maintenant avec ma femme	我现在和我的妻子住在Montréal
Et quelle est ton adresse	那么你的地址是什么？
rue Notre-Dame	巴黎圣母院街
Et tu as une adresse e-mail	你有一个email地址吗？
arobase	电子邮件地址符号“@”
hotmail point com	点；圆点；句点，标点；分数；学分[pwɛ̃]n.m.
Comment va ton ami espagnol	你的西班牙朋友怎么样了？
Il est à Paris avec son fils	他在巴黎和他的儿子一起。
Il parle français maintenant	他现在会说法语
