une bête	一个动物=un animal
seul	为形容词 “唯一的、仅有的”,补充说明 “只喝一杯”)
vendre	卖,出售
réchauffement	“变暖”=英语的 "warming"
climatique	“气候的”=英语的 "climatic"
linguistique	“语言学的”(英语=linguistic)
Le réalisateur utilise une caméra HD pour tourner le film	“导演使用高清摄像机拍摄电影。”
à la fois	固定短语,意为 “同时”“既...... 又......”。
utile	有用的
influenceurs	“网红”=英语influencers
TV series	“电视剧。”
l'arche	“方舟”
terre	“地球” “土地”“地面”
tel ou tel	“这个或那个”“某个”“某些”=英语this or that
continentale	“大陆的”=英语continental
désigne	“指的是”=英语refers to,原形désigner
débats	“辩论”=英语debates
émissions de variétés	“综艺节目”=英语variety shows
animateur	“主持人”=英语host
spectacle d’humour en solo sur scène	“单人舞台喜剧表演”=英语solo comedy show
brosser	梳,刷牙
regarder	看电视,看,看看
réveiller	弄醒
ciel	天空
pluie	雨
toute la journée	一整天,一整天都
jambe	腿
court	跑得,跑步
bouche	嘴,口
mince	瘦
je n'en aime aucun	“我哪一个都不喜欢”
raconter	“讲述”(英语=tell); “讲述”“叙述”“诉说”
