des appareils	电器(英语:appliances)
bâtiment	建筑(英语:building)
occidentaux	西方人(英语:Westerners)
Il faut qch à qn	某人需要某物
sa propre famille	“自己的家庭”(英语=one's own family)
la religion	宗教(英语=religion)
Ils sont importants, il faut les garder	它们很重要,需要保留。”
corriger	批改(英语:to correct)
amener	带来、鞋带(英语:to bring)
le rattrapage	补考(英语:the retake)
aux alentours de	在...... 左右、大约(英语:around)
famille élargie	“大家庭”(英语=extended family)
objets familiaux	家族传承的物品(英语=family heirlooms)
hérités	继承的(英语=inherited)
racontait	“讲述”(英语=told)(未完成过去时)
la guerre à Paris	“巴黎的战争”(英语=the war in Paris)
idéale	“理想的”(英语=ideal)
en paix	“和平的”(英语=peaceful)
regarder une série	“一起看电视剧”
chacun	“每个人”(英语=each)
tante	“阿姨”
pouvoir me contacter	联系,联络v.t.
dynamique	有活力的adj.
entretien	面试,会面n.m.
indispensable	必不可少的adj.(英语=indispensable)
parfois	有时,偶尔adv.
le point faible	弱点,缺点
privée	私人的,私有的adj.阴性
promenade	散步,散步的地方n.f.
qualité	质量,品质n.f.
réceptionniste	接待员n.m./f.(英语:receptionist)
